"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","31P2R1A5","42P1R1A12","44P3R3A6","51P2R2A10","54P2R2A3"
"ydfJ","","Putative transporter YdfJ","2","2","1","74","350","696","51","","1376","1376","1376","","42P1R1A12_05756","","51P2R2A10_00718",""
"group_3738","rspB","Starvation-sensing protein RspB","2","2","1","74","351","696","5","","1016","1019","1017","","42P1R1A12_05757","","51P2R2A10_00717",""
"group_3739","","hypothetical protein","2","2","1","74","355","696","1","","341","341","341","","42P1R1A12_05760","","51P2R2A10_00714",""
"group_3740","","hypothetical protein","2","2","1","74","358","19","43","","251","251","251","","42P1R1A12_05763","","51P2R2A10_00711",""
"group_3741","ynfE","Putative dimethyl sulfoxide reductase chain YnfE","2","2","1","74","359","19","45","","1412","2435","1923","","42P1R1A12_05765","","51P2R2A10_00710",""
"group_3742","dmsC_2","Anaerobic dimethyl sulfoxide reductase chain C","2","2","1","74","377","19","20","","857","857","857","","42P1R1A12_05767","","51P2R2A10_00708",""
"bioD1_2","","ATP-dependent dethiobiotin synthetase BioD 1","2","2","1","74","372","19","17","","695","695","695","","42P1R1A12_05770","","51P2R2A10_00705",""
"hcaR_2","","Hca operon transcriptional activator HcaR","2","2","1","74","370","19","15","","893","893","893","","42P1R1A12_05772","","51P2R2A10_00703",""
"group_3745","","hypothetical protein","2","2","1","74","2041","1","1299","","254","257","255","","42P1R1A12_05793","","51P2R2A10_03009",""
"group_3746","","hypothetical protein","2","2","1","74","1950","1","239","","200","200","200","","42P1R1A12_05851","","51P2R2A10_01394",""
"group_3747","","hypothetical protein","2","2","1","74","1949","1","238","","227","245","236","","42P1R1A12_05852","","51P2R2A10_01395",""
"group_3748","","hypothetical protein","2","2","1","74","1937","1","220","","539","539","539","","42P1R1A12_05860","","51P2R2A10_01406",""
"group_3749","","hypothetical protein","2","2","1","74","1936","1","219","","365","365","365","","42P1R1A12_05861","","51P2R2A10_01407",""
"group_3750","","hypothetical protein","2","2","1","74","1929","1","212","","380","380","380","","42P1R1A12_05868","","51P2R2A10_01414",""
"group_3751","comM","Competence protein ComM","2","2","1","78","113","1106","2","","1520","1520","1520","","42P1R1A12_05909","","51P2R2A10_05078",""
"group_3754","nimR_5","HTH-type transcriptional regulator NimR","2","2","1","74","8617","702","10","","794","821","807","","42P1R1A12_05946","","51P2R2A10_01175",""
"group_3755","","Thermostable carboxypeptidase 1","2","2","1","74","367","19","12","","1487","1487","1487","","42P1R1A12_05952","","51P2R2A10_00700",""
"group_3756","","hypothetical protein","2","2","1","74","361","19","6","","2156","2156","2156","","42P1R1A12_05956","","51P2R2A10_00695",""
"group_3766","","hypothetical protein","2","2","1","74","2345","697","37","","290","329","309","","42P1R1A12_05978","","51P2R2A10_00793",""
"group_3767","cusA","Cation efflux system protein CusA","2","2","1","74","2344","697","38","","3113","3113","3113","","42P1R1A12_05979","","51P2R2A10_00792",""
"group_3768","","hypothetical protein","2","2","1","74","2342","697","43","","1241","1247","1244","","42P1R1A12_05981","","51P2R2A10_00790",""
"bglT","","6-phospho-beta-glucosidase BglT","2","2","1","75","50","731","7","","1379","1379","1379","","42P1R1A12_05985","","51P2R2A10_04172",""
"group_3770","cutC_2","Choline trimethylamine-lyase","2","2","1","74","5409","712","12","","2297","2297","2297","","42P1R1A12_05995","","51P2R2A10_01645",""
"fryA_3","","Multiphosphoryl transfer protein 1","2","2","1","74","5412","712","7","","2501","2501","2501","","42P1R1A12_05998","","51P2R2A10_01648",""
"cynR_5","","HTH-type transcriptional regulator CynR","2","2","1","74","213","3","253","","899","899","899","","42P1R1A12_06039","","51P2R2A10_02316",""
"group_3777","lpdC_1","Gallate decarboxylase","2","2","1","74","2509","3","252","","1493","1493","1493","","42P1R1A12_06040","","51P2R2A10_02315",""
"group_3778","ubiX_1","Flavin prenyltransferase UbiX","2","2","1","74","2510","3","251","","578","578","578","","42P1R1A12_06041","","51P2R2A10_02314",""
"group_3779","yfiH","Polyphenol oxidase","2","2","1","74","10447","1320","1","","731","731","731","","42P1R1A12_06074","","51P2R2A10_02739",""
"group_3790","","ISNCY family transposase ISLad2","2","2","1","14","4","969","2","","1346","1358","1352","","42P1R1A12_06189","","","54P2R2A3_05149"
"htrE","","Outer membrane usher protein HtrE","2","2","1","74","3105","730","3","","1664","2486","2075","","42P1R1A12_06190","","51P2R2A10_02372",""
"group_3798","","IS3 family transposase ISEcl1","2","2","1","74","6194","2","29","","764","881","822","","42P1R1A12_06223","","","54P2R2A3_05021"
"group_3799","","hypothetical protein","2","2","1","74","2058","1","1243","","317","317","317","","","44P3R3A6_00168","51P2R2A10_03026",""
"frlB_1","","Fructosamine deglycase FrlB","2","2","1","74","1434","37","13","","986","986","986","","","44P3R3A6_01719","","54P2R2A3_04683"
"iprA_2","","Inhibitor of hydrogen peroxide resistance","2","2","1","75","35","30","13","","698","746","722","","","44P3R3A6_02473","","54P2R2A3_01555"
"ccmL_1","","Carbon dioxide concentrating mechanism protein CcmL","2","2","1","74","3007","58","12","","275","275","275","","","44P3R3A6_02660","","54P2R2A3_01629"
"group_3811","srlR_3","Glucitol operon repressor","2","2","1","74","7016","95","6","","839","839","839","","","44P3R3A6_03599","","54P2R2A3_01121"
"lacC_2","","Tagatose-6-phosphate kinase","2","2","1","74","7014","95","8","","914","914","914","","","44P3R3A6_03601","","54P2R2A3_01123"
"fruB_3","","Multiphosphoryl transfer protein","2","2","1","74","7012","95","10","","815","815","815","","","44P3R3A6_03603","","54P2R2A3_01125"
"gatA","","PTS system galactitol-specific EIIA component","2","2","1","74","7010","95","12","","467","467","467","","","44P3R3A6_03605","","54P2R2A3_01127"
"gatD","","Galactitol 1-phosphate 5-dehydrogenase","2","2","1","74","7007","95","3","","1043","1043","1043","","","44P3R3A6_03608","","54P2R2A3_01130"
"group_3816","","hypothetical protein","2","2","1","74","7005","95","1","","1001","1013","1007","","","44P3R3A6_03610","","54P2R2A3_01132"
"group_3818","","hypothetical protein","2","2","1","76","622","363","3","","623","623","623","","","44P3R3A6_04139","","54P2R2A3_02694"
"group_3819","","hypothetical protein","2","2","1","76","472","312","2","","377","377","377","","","44P3R3A6_04225","","54P2R2A3_02608"
"group_3820","","hypothetical protein","2","2","1","74","4389","1","567","","674","674","674","","","44P3R3A6_04261","","54P2R2A3_03780"
"group_3821","","hypothetical protein","2","2","1","74","4390","1","568","","347","347","347","","","44P3R3A6_04262","","54P2R2A3_03781"
"group_3822","","IS3 family transposase IS1400","2","2","1","74","5149","1","710","","266","281","273","","","44P3R3A6_04422","","54P2R2A3_03793"
"lgoT_3","","putative L-galactonate transporter","2","2","1","77","10","181","13","","1277","1277","1277","","","44P3R3A6_04504","51P2R2A10_05109",""
"group_3824","umuC_3","Protein UmuC","2","2","1","74","6383","2","431","","1271","1271","1271","","","44P3R3A6_05135","","54P2R2A3_04993"
"group_3825","xerC_6","Tyrosine recombinase XerC","2","2","1","74","6389","2","450","","776","779","777","","","44P3R3A6_05141","","54P2R2A3_04987"
"ymoA","","Modulating protein YmoA","2","2","1","74","6055","2","499","","203","203","203","","","44P3R3A6_05155","","54P2R2A3_04767"
"group_3827","","hypothetical protein","2","2","1","74","6249","2","126","","638","638","638","","","44P3R3A6_05326","","54P2R2A3_04940"
"group_3829","","hypothetical protein","2","2","1","74","6263","2","137","","311","311","311","","","44P3R3A6_05335","","54P2R2A3_04932"
"group_3830","","hypothetical protein","2","2","1","74","6272","2","138","","218","218","218","","","44P3R3A6_05336","","54P2R2A3_04931"
"group_3833","","hypothetical protein","2","2","1","86","2","239","8","","212","212","212","","","44P3R3A6_05566","","54P2R2A3_05159"
"group_3834","","hypothetical protein","2","2","1","86","7","239","6","","224","224","224","","","44P3R3A6_05567","","54P2R2A3_05160"
"group_3841","","hypothetical protein","2","2","1","74","4206","691","79","","566","566","566","","","","51P2R2A10_01800","54P2R2A3_02385"
"group_3842","","hypothetical protein","2","2","1","74","4186","691","56","","1025","1052","1038","","","","51P2R2A10_01807","54P2R2A3_02379"
"group_3843","","hypothetical protein","2","2","1","74","4180","691","50","","1727","1727","1727","","","","51P2R2A10_01808","54P2R2A3_02378"
"group_3844","","hypothetical protein","2","2","1","74","4176","691","46","","866","866","866","","","","51P2R2A10_01811","54P2R2A3_02375"
"group_3845","","hypothetical protein","2","2","1","74","4175","691","45","","515","515","515","","","","51P2R2A10_01812","54P2R2A3_02374"
"group_3846","","hypothetical protein","2","2","1","74","4173","691","43","","278","278","278","","","","51P2R2A10_01814","54P2R2A3_02372"
"group_3847","","hypothetical protein","2","2","1","74","4172","691","42","","545","545","545","","","","51P2R2A10_01815","54P2R2A3_02371"
"group_3848","","hypothetical protein","2","2","1","74","4169","691","39","","635","635","635","","","","51P2R2A10_01818","54P2R2A3_02368"
"group_3849","","hypothetical protein","2","2","1","74","4167","691","37","","350","350","350","","","","51P2R2A10_01820","54P2R2A3_02366"
"group_3850","","hypothetical protein","2","2","1","74","4164","691","10","","3029","3029","3029","","","","51P2R2A10_01822","54P2R2A3_02364"
"group_3851","","hypothetical protein","2","2","1","74","5426","691","11","","215","215","215","","","","51P2R2A10_01823","54P2R2A3_02363"
"group_3852","","hypothetical protein","2","2","1","74","5434","691","16","","491","509","500","","","","51P2R2A10_01827","54P2R2A3_02360"
"group_3853","","hypothetical protein","2","2","1","74","5869","691","23","","515","515","515","","","","51P2R2A10_01830","54P2R2A3_02357"
"nudG","","CTP pyrophosphohydrolase","2","2","1","74","533","41","3","","410","410","410","31P2R1A5_00006","","44P3R3A6_02997","",""
"fbpC2","","Fe(3+) ions import ATP-binding protein FbpC 2","2","2","1","74","532","41","1","","632","632","632","31P2R1A5_00009","","44P3R3A6_02994","",""
"chbG","","Chitooligosaccharide deacetylase ChbG","2","2","1","74","529","352","1","","758","758","758","31P2R1A5_00030","","44P3R3A6_02973","",""
"group_3875","","hypothetical protein","2","2","1","74","661","82","6","","947","947","947","31P2R1A5_00046","","44P3R3A6_02957","",""
"benM_2","","HTH-type transcriptional regulator BenM","2","2","1","74","662","82","13","","908","908","908","31P2R1A5_00048","","44P3R3A6_02955","",""
"group_3877","ttuB_4","Putative tartrate transporter","2","2","1","74","664","82","12","","1310","1310","1310","31P2R1A5_00049","","44P3R3A6_02954","",""
"ttuC'","","putative tartrate dehydrogenase/decarboxylase TtuC'","2","2","1","74","665","82","11","","1088","1088","1088","31P2R1A5_00050","","44P3R3A6_02953","",""
"ttuD","","Putative hydroxypyruvate reductase","2","2","1","74","666","82","1","","1259","1259","1259","31P2R1A5_00051","","44P3R3A6_02952","",""
"group_3884","","hypothetical protein","2","2","1","74","675","245","1","","662","662","662","31P2R1A5_00059","","44P3R3A6_02944","",""
"ves","","Protein Ves","2","2","1","74","509","290","1","","542","542","542","31P2R1A5_00081","","44P3R3A6_02922","",""
"occQ","","Octopine transport system permease protein OccQ","2","2","1","74","507","290","3","","719","719","719","31P2R1A5_00083","","44P3R3A6_02920","",""
"occM","","Octopine transport system permease protein OccM","2","2","1","74","506","290","4","","731","731","731","31P2R1A5_00084","","44P3R3A6_02919","",""
"occP_1","","Octopine permease ATP-binding protein P","2","2","1","74","505","290","5","","794","794","794","31P2R1A5_00085","","44P3R3A6_02918","",""
"hutH_2","","Histidine ammonia-lyase","2","2","1","74","504","290","6","","1499","1499","1499","31P2R1A5_00086","","44P3R3A6_02917","",""
"auaH","","Aurachin B dehydrogenase","2","2","1","74","8401","81","13","","905","905","905","31P2R1A5_00092","","44P3R3A6_02911","",""
"group_3900","rhaR_3","HTH-type transcriptional activator RhaR","2","2","1","74","8400","81","9","","2333","2333","2333","31P2R1A5_00094","","44P3R3A6_02909","",""
"group_3909","","hypothetical protein","2","2","1","74","8421","1","1153","","1406","1406","1406","31P2R1A5_00110","","44P3R3A6_02892","",""
"group_3910","glnP_2","Glutamine transport system permease protein GlnP","2","2","1","74","8420","1","1154","","674","674","674","31P2R1A5_00111","","44P3R3A6_02891","",""
"occP_2","","Octopine permease ATP-binding protein P","2","2","1","74","9817","1","1155","","791","791","791","31P2R1A5_00112","","44P3R3A6_02890","",""
"group_3912","","putative amino-acid ABC transporter-binding protein","2","2","1","74","9818","1","1156","","788","788","788","31P2R1A5_00113","","44P3R3A6_02889","",""
"occR_2","","Octopine catabolism/uptake operon regulatory protein OccR","2","2","1","74","9819","1","1157","","887","887","887","31P2R1A5_00114","","44P3R3A6_02888","",""
"group_3914","argP_4","HTH-type transcriptional regulator ArgP","2","2","1","74","9820","1","1158","","944","944","944","31P2R1A5_00115","","44P3R3A6_02887","",""
"ssuA_1","","Putative aliphatic sulfonates-binding protein","2","2","1","74","9821","1","1159","","1067","1067","1067","31P2R1A5_00116","","44P3R3A6_02886","",""
"group_3916","ssuB_3","Aliphatic sulfonates import ATP-binding protein SsuB","2","2","1","74","9822","1","1149","","743","743","743","31P2R1A5_00118","","44P3R3A6_02884","",""
"nepI_2","","Purine ribonucleoside efflux pump NepI","2","2","1","74","3573","1","1187","","1202","1202","1202","31P2R1A5_00123","","44P3R3A6_02879","",""
"ytbE","","putative oxidoreductase YtbE","2","2","1","74","3572","1","1186","","869","869","869","31P2R1A5_00124","","44P3R3A6_02878","",""
"group_3920","lacZ_1","Beta-galactosidase","2","2","1","74","3571","1","1185","","2198","2198","2198","31P2R1A5_00125","","44P3R3A6_02877","",""
"group_3921","rcsC_2","Sensor histidine kinase RcsC","2","2","1","74","3570","1","1184","","2693","2693","2693","31P2R1A5_00126","","44P3R3A6_02876","",""
"group_3922","","hypothetical protein","2","2","1","74","3569","1","1183","","434","434","434","31P2R1A5_00127","","44P3R3A6_02875","",""
"group_3923","","hypothetical protein","2","2","1","74","3568","1","1182","","1394","1394","1394","31P2R1A5_00128","","44P3R3A6_02874","",""
"group_3924","","hypothetical protein","2","2","1","74","3567","1","1181","","1547","1547","1547","31P2R1A5_00129","","44P3R3A6_02873","",""
"group_3925","","hypothetical protein","2","2","1","74","3566","1","1180","","1331","1331","1331","31P2R1A5_00130","","44P3R3A6_02872","",""
"group_3926","acsAB_2","Cellulose synthase 1","2","2","1","74","3565","1","1179","","1817","1817","1817","31P2R1A5_00131","","44P3R3A6_02871","",""
"group_3927","","hypothetical protein","2","2","1","74","8431","1","1178","","1217","1217","1217","31P2R1A5_00132","","44P3R3A6_02870","",""
"group_3928","","hypothetical protein","2","2","1","74","8432","1","1177","","899","899","899","31P2R1A5_00133","","44P3R3A6_02869","",""
"group_3929","rssB_2","Regulator of RpoS","2","2","1","74","8433","1","1193","","1214","1214","1214","31P2R1A5_00134","","44P3R3A6_02868","",""
"group_3930","","hypothetical protein","2","2","1","74","8434","1","1194","","338","338","338","31P2R1A5_00135","","44P3R3A6_02867","",""
"rsbW","","Serine-protein kinase RsbW","2","2","1","74","8435","1","1195","","470","470","470","31P2R1A5_00136","","44P3R3A6_02866","",""
"group_3932","","hypothetical protein","2","2","1","74","8436","1","1196","","188","188","188","31P2R1A5_00137","","44P3R3A6_02865","",""
"group_3935","","hypothetical protein","2","2","1","74","3563","1","817","","689","689","689","31P2R1A5_00146","","44P3R3A6_02858","",""
"nocT","","Nopaline-binding periplasmic protein","2","2","1","74","508","290","2","","812","845","828","31P2R1A5_00082","","44P3R3A6_02921","",""
"group_3941","","hypothetical protein","2","2","1","74","8490","1","946","","1592","1592","1592","31P2R1A5_00155","","44P3R3A6_00004","",""
"group_3945","","hypothetical protein","2","2","1","74","8501","1","935","","206","206","206","31P2R1A5_00164","","","","54P2R2A3_02887"
"ytnP","","hypothetical protein","2","2","1","74","8506","1","932","","860","860","860","31P2R1A5_00168","","44P3R3A6_00017","",""
"group_3951","","hypothetical protein","2","2","1","74","3516","1","920","","749","749","749","31P2R1A5_00180","","44P3R3A6_00029","",""
"group_3952","glcR_1","HTH-type transcriptional repressor GlcR","2","2","1","74","8522","1","917","","743","743","743","31P2R1A5_00183","","44P3R3A6_00032","",""
"ompN_1","","Outer membrane porin N","2","2","1","74","8598","331","1","","1124","1124","1124","31P2R1A5_00189","","44P3R3A6_00038","",""
"yabI_1","","Inner membrane protein YabI","2","2","1","74","8603","198","4","","500","500","500","31P2R1A5_00194","","44P3R3A6_00043","",""
"group_3959","feaR","Transcriptional activator FeaR","2","2","1","74","3495","40","20","","902","902","902","31P2R1A5_00198","","44P3R3A6_00047","",""
"group_3975","","hypothetical protein","2","2","1","74","8674","340","2","","284","284","284","31P2R1A5_00227","","44P3R3A6_00077","",""
"group_3976","higB-2_1","Toxin HigB-2","2","2","1","74","8680","340","1","","332","332","332","31P2R1A5_00228","","44P3R3A6_00078","",""
"group_3977","","Catechol O-methyltransferase","2","2","1","74","8786","88","18","","659","659","659","31P2R1A5_00232","","44P3R3A6_00082","",""
"group_3980","slyA_1","Transcriptional regulator SlyA","2","2","1","74","8793","88","14","","431","431","431","31P2R1A5_00236","","44P3R3A6_00086","",""
"pgrR_2","","HTH-type transcriptional regulator PgrR","2","2","1","74","8794","88","13","","914","914","914","31P2R1A5_00237","","44P3R3A6_00087","",""
"iolS","","Aldo-keto reductase IolS","2","2","1","74","8795","88","12","","998","998","998","31P2R1A5_00238","","44P3R3A6_00088","",""
"ydhP_1","","Inner membrane transport protein YdhP","2","2","1","74","8796","88","11","","1187","1187","1187","31P2R1A5_00239","","44P3R3A6_00089","",""
"group_3984","yajO_1","1-deoxyxylulose-5-phosphate synthase YajO","2","2","1","74","8797","88","10","","1064","1064","1064","31P2R1A5_00240","","44P3R3A6_00090","",""
"oxyL","","6-methylpretetramide 4-monooxygenase","2","2","1","74","8798","88","9","","1484","1484","1484","31P2R1A5_00241","","44P3R3A6_00091","",""
"group_3986","thlA_1","Acetyl-CoA acetyltransferase","2","2","1","74","8799","88","8","","1205","1205","1205","31P2R1A5_00242","","44P3R3A6_00092","",""
"group_3987","","hypothetical protein","2","2","1","74","8800","88","7","","785","785","785","31P2R1A5_00243","","44P3R3A6_00093","",""
"group_3988","","putative phosphatase","2","2","1","74","8801","88","6","","653","653","653","31P2R1A5_00244","","44P3R3A6_00094","",""
"ydcF","","Protein YdcF","2","2","1","74","8778","27","24","","800","800","800","31P2R1A5_00253","","44P3R3A6_00103","",""
"ydfO","","putative protein YdfO","2","2","1","74","8773","27","20","","392","392","392","31P2R1A5_00257","","44P3R3A6_00107","",""
"malY","","Protein MalY","2","2","1","74","8765","27","12","","1172","1172","1172","31P2R1A5_00264","","44P3R3A6_00114","",""
"tus","","DNA replication terminus site-binding protein","2","2","1","74","8758","100","3","","932","932","932","31P2R1A5_00271","","44P3R3A6_00121","",""
"group_4004","","Glucose 1-dehydrogenase","2","2","1","74","8709","100","6","","740","740","740","31P2R1A5_00273","","44P3R3A6_00123","",""
"ydgC","","Inner membrane protein YdgC","2","2","1","74","8753","100","10","","335","335","335","31P2R1A5_00276","","44P3R3A6_00126","",""
"group_4008","","hypothetical protein","2","2","1","74","2112","1","309","","158","158","158","31P2R1A5_00286","","","","54P2R2A3_02774"
"murQ_1","","N-acetylmuramic acid 6-phosphate etherase","2","2","1","74","2132","137","2","","923","923","923","31P2R1A5_00306","","44P3R3A6_00221","",""
"group_4019","bcr_1","Bicyclomycin resistance protein","2","2","1","74","2135","137","1","","1184","1184","1184","31P2R1A5_00308","","44P3R3A6_00223","",""
"group_4023","","hypothetical protein","2","2","1","74","382","19","22","","2156","2156","2156","31P2R1A5_00321","","44P3R3A6_00236","",""
"group_4024","","hypothetical protein","2","2","1","74","2159","19","29","","371","371","371","31P2R1A5_00324","","44P3R3A6_00239","",""
"clcB_1","","Voltage-gated ClC-type chloride channel ClcB","2","2","1","74","2165","19","38","","1295","1295","1295","31P2R1A5_00330","","44P3R3A6_00245","",""
"dmsD","","Tat proofreading chaperone DmsD","2","2","1","74","2166","19","39","","608","608","608","31P2R1A5_00331","","44P3R3A6_00246","",""
"dmsC_1","","Anaerobic dimethyl sulfoxide reductase chain C","2","2","1","74","2167","19","40","","857","857","857","31P2R1A5_00332","","44P3R3A6_00247","",""
"group_4032","por_1","Polyol:NADP oxidoreductase","2","2","1","74","2177","3","326","","1463","1463","1463","31P2R1A5_00341","","44P3R3A6_00256","",""
"dcp","","Dipeptidyl carboxypeptidase","2","2","1","74","2203","3","372","","2045","2045","2045","31P2R1A5_00345","","44P3R3A6_00260","",""
"group_4034","","hypothetical protein","2","2","1","74","2202","3","373","","896","896","896","31P2R1A5_00346","","44P3R3A6_00261","",""
"group_4035","","hypothetical protein","2","2","1","74","2201","3","374","","1511","1511","1511","31P2R1A5_00347","","44P3R3A6_00262","",""
"group_4036","","hypothetical protein","2","2","1","74","2200","3","375","","923","923","923","31P2R1A5_00348","","44P3R3A6_00263","",""
"group_4037","hcaR_2","Hca operon transcriptional activator HcaR","2","2","1","74","2190","3","387","","920","920","920","31P2R1A5_00350","","44P3R3A6_00265","",""
"group_4038","pspA_1","Phosphoserine phosphatase 1","2","2","1","74","2189","3","386","","632","632","632","31P2R1A5_00351","","44P3R3A6_00266","",""
"group_4039","","hypothetical protein","2","2","1","74","2188","3","385","","404","404","404","31P2R1A5_00352","","44P3R3A6_00267","",""
"group_4040","dmlR_1","HTH-type transcriptional regulator DmlR","2","2","1","74","2187","3","384","","911","911","911","31P2R1A5_00353","","44P3R3A6_00268","",""
"group_4041","","hypothetical protein","2","2","1","74","2186","3","383","","752","752","752","31P2R1A5_00354","","44P3R3A6_00269","",""
"group_4042","","hypothetical protein","2","2","1","74","2185","3","382","","479","479","479","31P2R1A5_00355","","44P3R3A6_00270","",""
"group_4043","","hypothetical protein","2","2","1","74","2184","3","381","","581","581","581","31P2R1A5_00356","","44P3R3A6_00271","",""
"group_4044","","hypothetical protein","2","2","1","74","2183","3","380","","689","689","689","31P2R1A5_00357","","44P3R3A6_00272","",""
"group_4045","","hypothetical protein","2","2","1","74","2182","3","379","","587","587","587","31P2R1A5_00358","","44P3R3A6_00273","",""
"dmlR_2","","HTH-type transcriptional regulator DmlR","2","2","1","74","2181","3","378","","893","893","893","31P2R1A5_00359","","44P3R3A6_00274","",""
"group_4047","","Acetyltransferase","2","2","1","74","2180","3","377","","545","545","545","31P2R1A5_00360","","44P3R3A6_00275","",""
"group_4049","","hypothetical protein","2","2","1","74","2218","3","333","","629","629","629","31P2R1A5_00362","","44P3R3A6_00276","",""
"ibpB_1","","Small heat shock protein IbpB","2","2","1","74","2220","3","335","","473","473","473","31P2R1A5_00364","","44P3R3A6_00278","",""
"group_4051","pncC_1","Nicotinamide-nucleotide amidohydrolase PncC","2","2","1","74","2221","3","336","","512","512","512","31P2R1A5_00365","","44P3R3A6_00279","",""
"bluF_1","","Blue light- and temperature-regulated antirepressor BluF","2","2","1","74","2222","3","337","","1217","1217","1217","31P2R1A5_00366","","44P3R3A6_00280","",""
"group_4053","","hypothetical protein","2","2","1","74","2223","3","338","","611","611","611","31P2R1A5_00367","","44P3R3A6_00281","",""
"rob_1","","Right origin-binding protein","2","2","1","74","2224","3","339","","899","899","899","31P2R1A5_00368","","44P3R3A6_00282","",""
"otnI","","2-oxo-tetronate isomerase","2","2","1","74","323","3","357","","782","797","789","31P2R1A5_00370","","44P3R3A6_00284","",""
"bla","","Beta-lactamase SHV-1","2","2","1","74","2231","3","340","","860","860","860","31P2R1A5_00375","","44P3R3A6_00289","",""
"yddE_1","","putative isomerase YddE","2","2","1","74","2259","54","3","","791","791","791","31P2R1A5_00399","","44P3R3A6_00313","",""
"adh1","","Long-chain-alcohol dehydrogenase 1","2","2","1","74","2265","54","1","","1148","1148","1148","31P2R1A5_00405","","44P3R3A6_00319","",""
"dtnK","","D-threonate kinase","2","2","1","74","2266","54","2","","1235","1235","1235","31P2R1A5_00406","","44P3R3A6_00320","",""
"group_408","","hypothetical protein","2","2","1","74","8439","1","1200","","488","1532","1010","31P2R1A5_00141","","","","54P2R2A3_02916"
"group_4081","","hypothetical protein","2","2","1","74","2309","38","8","","368","368","368","31P2R1A5_00414","","44P3R3A6_00328","",""
"ttr","","Acetyltransferase","2","2","1","74","2311","38","6","","530","530","530","31P2R1A5_00416","","44P3R3A6_00330","",""
"group_4083","","hypothetical protein","2","2","1","74","2318","38","1","","446","446","446","31P2R1A5_00418","","44P3R3A6_00332","",""
"group_4084","","hypothetical protein","2","2","1","74","2319","38","2","","98","98","98","31P2R1A5_00419","","44P3R3A6_00333","",""
"group_4085","","hypothetical protein","2","2","1","74","2320","38","3","","380","380","380","31P2R1A5_00420","","44P3R3A6_00334","",""
"group_4086","","hypothetical protein","2","2","1","74","2321","38","4","","320","320","320","31P2R1A5_00421","","44P3R3A6_00335","",""
"group_4087","tam_1","Trans-aconitate 2-methyltransferase","2","2","1","74","2322","38","5","","761","761","761","31P2R1A5_00422","","44P3R3A6_00336","",""
"group_4089","","hypothetical protein","2","2","1","74","2325","38","20","","446","446","446","31P2R1A5_00425","","44P3R3A6_00339","",""
"group_4094","","hypothetical protein","2","2","1","74","2378","24","3","","755","755","755","31P2R1A5_00436","","44P3R3A6_00350","",""
"pucM","","5-hydroxyisourate hydrolase","2","2","1","74","2388","24","2","","326","326","326","31P2R1A5_00445","","44P3R3A6_00359","",""
"mrkD_1","","Fimbria adhesin protein","2","2","1","74","2394","24","21","","1004","1004","1004","31P2R1A5_00449","","44P3R3A6_00363","",""
"yraJ","","Outer membrane usher protein YraJ","2","2","1","74","2395","24","22","","2501","2501","2501","31P2R1A5_00450","","44P3R3A6_00364","",""
"group_4104","","hypothetical protein","2","2","1","74","2400","24","24","","287","287","287","31P2R1A5_00453","","44P3R3A6_00367","",""
"group_4105","","hypothetical protein","2","2","1","74","2399","24","27","","206","206","206","31P2R1A5_00454","","44P3R3A6_00368","",""
"group_4106","","hypothetical protein","2","2","1","74","2398","24","28","","533","533","533","31P2R1A5_00455","","44P3R3A6_00369","",""
"group_4107","","hypothetical protein","2","2","1","74","2397","24","29","","344","344","344","31P2R1A5_00456","","44P3R3A6_00370","",""
"dap","","D-aminopeptidase","2","2","1","74","2403","24","30","","1115","1115","1115","31P2R1A5_00457","","44P3R3A6_00371","",""
"besA","","Ferri-bacillibactin esterase BesA","2","2","1","74","242","3","284","","926","926","926","31P2R1A5_00462","","44P3R3A6_00376","",""
"group_4111","","hypothetical protein","2","2","1","74","241","3","285","","140","140","140","31P2R1A5_00463","","44P3R3A6_00377","",""
"group_4112","","hypothetical protein","2","2","1","74","240","3","286","","239","239","239","31P2R1A5_00464","","44P3R3A6_00378","",""
"malP_1","","PTS system maltose-specific EIICB component","2","2","1","74","2445","3","294","","1538","1538","1538","31P2R1A5_00468","","44P3R3A6_00382","",""
"group_4114","","hypothetical protein","2","2","1","74","2449","3","296","","743","743","743","31P2R1A5_00470","","44P3R3A6_00384","",""
"cynR_2","","HTH-type transcriptional regulator CynR","2","2","1","74","2450","3","297","","884","884","884","31P2R1A5_00471","","44P3R3A6_00385","",""
"garR_1","","3-sulfolactaldehyde reductase","2","2","1","74","2451","3","298","","875","875","875","31P2R1A5_00472","","44P3R3A6_00386","",""
"menH_1","","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","2","2","1","74","2452","3","299","","1469","1469","1469","31P2R1A5_00473","","44P3R3A6_00387","",""
"group_4118","","hypothetical protein","2","2","1","74","2453","3","300","","587","587","587","31P2R1A5_00474","","44P3R3A6_00388","",""
"group_4119","","hypothetical protein","2","2","1","74","2454","3","301","","755","755","755","31P2R1A5_00475","","44P3R3A6_00389","",""
"group_4120","","hypothetical protein","2","2","1","74","2455","3","302","","209","209","209","31P2R1A5_00476","","44P3R3A6_00390","",""
"group_4121","","hypothetical protein","2","2","1","74","2456","3","303","","467","467","467","31P2R1A5_00477","","44P3R3A6_00391","",""
