"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","18P3R3A11","37P2R3-2A1","38P2R3A13","47P2R3A6","52P2R3A10","56P2R2A4"
"ariR_2","","putative two-component-system connector protein AriR","2","2","1","166","898","19","54","","278","278","278","","","38P2R3A13_05783","47P2R3A6_02015","",""
"group_720","","hypothetical protein","2","2","1","166","7568","417","4","","206","206","206","","","38P2R3A13_07206","47P2R3A6_03106","",""
"group_7202","","hypothetical protein","2","2","1","169","89","25","7","","140","140","140","","","38P2R3A13_03148","","52P2R3A10_03590",""
"group_7208","","hypothetical protein","2","2","1","166","3818","1","308","","854","854","854","","","38P2R3A13_03182","47P2R3A6_01072","",""
"dmlR_14","","HTH-type transcriptional regulator DmlR","2","2","1","166","3819","1","309","","875","875","875","","","38P2R3A13_03183","47P2R3A6_01073","",""
"group_7210","","hypothetical protein","2","2","1","166","3820","1","310","","959","959","959","","","38P2R3A13_03184","47P2R3A6_01074","",""
"osmC_2","","Peroxiredoxin OsmC","2","2","1","166","3821","1","311","","428","428","428","","","38P2R3A13_03185","47P2R3A6_01075","",""
"pgrR_7","","HTH-type transcriptional regulator PgrR","2","2","1","166","3822","1","312","","905","905","905","","","38P2R3A13_03186","47P2R3A6_01076","",""
"group_7213","ddpF","putative D,D-dipeptide transport ATP-binding protein DdpF","2","2","1","166","3824","1","314","","929","929","929","","","38P2R3A13_03188","47P2R3A6_01078","",""
"ddpD_2","","putative D,D-dipeptide transport ATP-binding protein DdpD","2","2","1","166","3825","1","315","","986","986","986","","","38P2R3A13_03189","47P2R3A6_01079","",""
"ddpX_2","","D-alanyl-D-alanine dipeptidase","2","2","1","166","3835","1","319","","575","575","575","","","38P2R3A13_03193","47P2R3A6_01083","",""
"group_7216","","hypothetical protein","2","2","1","166","3836","1","320","","854","854","854","","","38P2R3A13_03194","47P2R3A6_01084","",""
"menH_4","","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","2","2","1","166","3837","1","321","","1481","1481","1481","","","38P2R3A13_03195","47P2R3A6_01085","",""
"bluF_3","","Blue light- and temperature-regulated antirepressor BluF","2","2","1","166","3838","1","322","","1247","1247","1247","","","38P2R3A13_03196","47P2R3A6_01086","",""
"scrK_1","","Fructokinase","2","2","1","166","3839","1","323","","905","905","905","","","38P2R3A13_03197","47P2R3A6_01087","",""
"group_7220","scrB_2","Sucrose-6-phosphate hydrolase","2","2","1","166","3842","1","328","","1406","1406","1406","","","38P2R3A13_03200","47P2R3A6_01090","",""
"group_7222","","hypothetical protein","2","2","1","166","3846","1","332","","602","602","602","","","38P2R3A13_03204","47P2R3A6_01093","",""
"group_7223","","hypothetical protein","2","2","1","166","3847","1","333","","1484","1484","1484","","","38P2R3A13_03205","47P2R3A6_01094","",""
"group_7224","","hypothetical protein","2","2","1","166","3848","1","334","","572","572","572","","","38P2R3A13_03206","47P2R3A6_01095","",""
"group_7225","","hypothetical protein","2","2","1","166","3849","1","335","","419","419","419","","","38P2R3A13_03207","47P2R3A6_01096","",""
"group_7226","","hypothetical protein","2","2","1","166","3850","1","336","","557","557","557","","","38P2R3A13_03208","47P2R3A6_01097","",""
"group_7227","","hypothetical protein","2","2","1","166","3851","1","337","","371","371","371","","","38P2R3A13_03209","47P2R3A6_01098","",""
"dsbD_3","","Thiol:disulfide interchange protein DsbD","2","2","1","166","3852","1","338","","2033","2033","2033","","","38P2R3A13_03210","47P2R3A6_01099","",""
"group_7229","","hypothetical protein","2","2","1","166","3853","1","339","","611","611","611","","","38P2R3A13_03211","47P2R3A6_01100","",""
"dsbG_2","","Thiol:disulfide interchange protein DsbG","2","2","1","166","3854","1","340","","758","758","758","","","38P2R3A13_03212","47P2R3A6_01101","",""
"group_7231","","hypothetical protein","2","2","1","166","3855","1","341","","1292","1292","1292","","","38P2R3A13_03213","47P2R3A6_01102","",""
"group_7232","","hypothetical protein","2","2","1","166","3856","1","342","","287","287","287","","","38P2R3A13_03214","47P2R3A6_01103","",""
"group_7233","gltC_5","HTH-type transcriptional regulator GltC","2","2","1","166","3858","1","344","","884","884","884","","","38P2R3A13_03216","47P2R3A6_01105","",""
"nodD2_3","","Nodulation protein D 2","2","2","1","166","3859","1","345","","911","911","911","","","38P2R3A13_03217","47P2R3A6_01106","",""
"group_7235","","hypothetical protein","2","2","1","166","3860","1","346","","986","986","986","","","38P2R3A13_03218","47P2R3A6_01107","",""
"hel_2","","Lipoprotein E","2","2","1","166","3861","1","347","","743","743","743","","","38P2R3A13_03219","47P2R3A6_01108","",""
"wecD_1","","dTDP-fucosamine acetyltransferase","2","2","1","166","3862","1","348","","527","527","527","","","38P2R3A13_03220","47P2R3A6_01109","",""
"group_7238","glgB_3","1,4-alpha-glucan branching enzyme GlgB","2","2","1","166","3863","1","349","","1787","1787","1787","","","38P2R3A13_03221","47P2R3A6_01110","",""
"group_7239","treY","Maltooligosyl trehalose synthase","2","2","1","166","3864","1","350","","2468","2468","2468","","","38P2R3A13_03222","47P2R3A6_01111","",""
"glgX_3","","Glycogen operon protein GlgX","2","2","1","166","3865","1","351","","2075","2075","2075","","","38P2R3A13_03223","47P2R3A6_01112","",""
"group_7241","","hypothetical protein","2","2","1","166","3869","1","355","","995","995","995","","","38P2R3A13_03227","47P2R3A6_01116","",""
"ribZ_3","","Riboflavin transporter RibZ","2","2","1","166","3870","1","356","","1409","1409","1409","","","38P2R3A13_03228","47P2R3A6_01117","",""
"nodD2_4","","Nodulation protein D 2","2","2","1","166","3871","1","357","","923","923","923","","","38P2R3A13_03229","47P2R3A6_01118","",""
"group_7244","cusS_2","Sensor histidine kinase CusS","2","2","1","166","3872","1","358","","1460","1460","1460","","","38P2R3A13_03230","47P2R3A6_01119","",""
"cusR_2","","Transcriptional regulatory protein CusR","2","2","1","166","3873","1","359","","713","713","713","","","38P2R3A13_03231","47P2R3A6_01120","",""
"cusC_2","","Cation efflux system protein CusC","2","2","1","166","3874","1","360","","1385","1385","1385","","","38P2R3A13_03232","47P2R3A6_01121","",""
"group_7247","cusF","Cation efflux system protein CusF","2","2","1","166","3875","1","361","","341","341","341","","","38P2R3A13_03233","47P2R3A6_01122","",""
"group_7248","cusB","Cation efflux system protein CusB","2","2","1","166","3876","1","362","","1250","1250","1250","","","38P2R3A13_03234","47P2R3A6_01123","",""
"pcoE","","putative copper-binding protein PcoE","2","2","1","166","3878","1","364","","308","308","308","","","38P2R3A13_03236","47P2R3A6_01125","",""
"ampC_2","","Beta-lactamase","2","2","1","166","3879","1","365","","1202","1202","1202","","","38P2R3A13_03237","47P2R3A6_01126","",""
"lsrG_1","","(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase","2","2","1","166","3880","1","366","","731","731","731","","","38P2R3A13_03238","47P2R3A6_01127","",""
"yajO_3","","1-deoxyxylulose-5-phosphate synthase YajO","2","2","1","166","3881","1","367","","1019","1019","1019","","","38P2R3A13_03239","47P2R3A6_01128","",""
"kefF_2","","Glutathione-regulated potassium-efflux system ancillary protein KefF","2","2","1","166","3882","1","368","","557","557","557","","","38P2R3A13_03240","47P2R3A6_01129","",""
"group_7254","","hypothetical protein","2","2","1","166","3883","1","369","","302","302","302","","","38P2R3A13_03241","47P2R3A6_01130","",""
"pgrR_8","","HTH-type transcriptional regulator PgrR","2","2","1","166","3884","1","370","","899","899","899","","","38P2R3A13_03242","47P2R3A6_01131","",""
"group_7256","","hypothetical protein","2","2","1","166","3885","1","371","","473","473","473","","","38P2R3A13_03243","47P2R3A6_01132","",""
"group_7257","","hypothetical protein","2","2","1","166","3886","1","372","","2369","2369","2369","","","38P2R3A13_03244","47P2R3A6_01133","",""
"group_7258","","hypothetical protein","2","2","1","166","3888","1","373","","464","464","464","","","38P2R3A13_03245","47P2R3A6_01134","",""
"group_7259","","hypothetical protein","2","2","1","166","3889","1","375","","1619","1619","1619","","","38P2R3A13_03246","47P2R3A6_01136","",""
"group_7260","","hypothetical protein","2","2","1","166","3890","1","376","","362","362","362","","","38P2R3A13_03247","47P2R3A6_01137","",""
"hipA","","Serine/threonine-protein kinase toxin HipA","2","2","1","166","3891","1","377","","1313","1313","1313","","","38P2R3A13_03248","47P2R3A6_01138","",""
"hipB","","Antitoxin HipB","2","2","1","166","3892","1","378","","287","287","287","","","38P2R3A13_03249","47P2R3A6_01139","",""
"group_7263","glpR_1","Glycerol-3-phosphate regulon repressor","2","2","1","166","3893","1","379","","773","773","773","","","38P2R3A13_03250","47P2R3A6_01140","",""
"group_7264","nudK_2","GDP-mannose pyrophosphatase NudK","2","2","1","166","3894","1","380","","584","584","584","","","38P2R3A13_03251","47P2R3A6_01141","",""
"group_7265","tam_1","Trans-aconitate 2-methyltransferase","2","2","1","166","3895","1","381","","758","758","758","","","38P2R3A13_03252","47P2R3A6_01142","",""
"dipZ_2","","Protein DipZ","2","2","1","166","3896","1","382","","1190","1190","1190","","","38P2R3A13_03253","47P2R3A6_01143","",""
"rcsC_4","","Sensor histidine kinase RcsC","2","2","1","166","3897","1","383","","1298","1298","1298","","","38P2R3A13_03254","47P2R3A6_01144","",""
"group_7268","","hypothetical protein","2","2","1","166","3900","1","386","","440","440","440","","","38P2R3A13_03257","47P2R3A6_01147","",""
"uxaB_2","","Altronate oxidoreductase","2","2","1","166","3903","1","397","","1451","1451","1451","","","38P2R3A13_03260","47P2R3A6_01150","",""
"ttr_2","","Acetyltransferase","2","2","1","166","3904","1","398","","527","527","527","","","38P2R3A13_03261","47P2R3A6_01151","",""
"group_7271","","hypothetical protein","2","2","1","166","3905","1","399","","965","965","965","","","38P2R3A13_03262","47P2R3A6_01152","",""
"group_7272","","hypothetical protein","2","2","1","166","3906","1","400","","1445","1445","1445","","","38P2R3A13_03263","47P2R3A6_01153","",""
"group_7273","","hypothetical protein","2","2","1","166","3907","1","401","","356","356","356","","","38P2R3A13_03264","47P2R3A6_01154","",""
"tsr_5","","Methyl-accepting chemotaxis protein I","2","2","1","166","3909","1","403","","1724","1724","1724","","","38P2R3A13_03266","47P2R3A6_01156","",""
"group_7275","sad_2","Succinate semialdehyde dehydrogenase [NAD(P)+] Sad","2","2","1","166","3910","1","404","","1388","1388","1388","","","38P2R3A13_03267","47P2R3A6_01157","",""
"group_7276","","hypothetical protein","2","2","1","166","3912","1","406","","482","482","482","","","38P2R3A13_03269","47P2R3A6_01159","",""
"group_7277","pcpR_2","PCP degradation transcriptional activation protein","2","2","1","166","3913","1","407","","962","962","962","","","38P2R3A13_03270","47P2R3A6_01160","",""
"group_7278","","hypothetical protein","2","2","1","166","3914","1","408","","962","962","962","","","38P2R3A13_03271","47P2R3A6_01161","",""
"group_7279","","hypothetical protein","2","2","1","166","3915","1","409","","800","800","800","","","38P2R3A13_03272","47P2R3A6_01162","",""
"group_7280","","hypothetical protein","2","2","1","166","3916","1","410","","788","788","788","","","38P2R3A13_03273","47P2R3A6_01163","",""
"eamA_2","","putative amino-acid metabolite efflux pump","2","2","1","166","3922","1","416","","899","899","899","","","38P2R3A13_03279","47P2R3A6_01169","",""
"mdrP_2","","Na(+), Li(+), K(+)/H(+) antiporter","2","2","1","166","3923","1","417","","1193","1193","1193","","","38P2R3A13_03280","47P2R3A6_01170","",""
"group_7283","zinT","Metal-binding protein ZinT","2","2","1","166","3924","1","418","","638","638","638","","","38P2R3A13_03281","47P2R3A6_01171","",""
"group_7284","livF_6","High-affinity branched-chain amino acid transport ATP-binding protein LivF","2","2","1","166","3925","1","419","","698","698","698","","","38P2R3A13_03282","47P2R3A6_01172","",""
"group_7285","","hypothetical protein","2","2","1","166","3928","1","422","","1574","1574","1574","","","38P2R3A13_03285","47P2R3A6_01175","",""
"group_7286","","hypothetical protein","2","2","1","166","3933","1","617","","413","413","413","","","38P2R3A13_03288","47P2R3A6_01178","",""
"group_7287","cdhR_4","HTH-type transcriptional regulator CdhR","2","2","1","166","3934","1","618","","1013","1013","1013","","","38P2R3A13_03289","47P2R3A6_01179","",""
"group_7288","","hypothetical protein","2","2","1","166","3935","1","619","","362","362","362","","","38P2R3A13_03290","47P2R3A6_01180","",""
"group_7289","","hypothetical protein","2","2","1","166","3936","1","620","","251","251","251","","","38P2R3A13_03291","47P2R3A6_01181","",""
"group_7290","sutR_1","HTH-type transcriptional regulator SutR","2","2","1","166","3938","1","622","","527","527","527","","","38P2R3A13_03293","47P2R3A6_01183","",""
"ydcO_2","","Inner membrane protein YdcO","2","2","1","166","3939","1","623","","1166","1166","1166","","","38P2R3A13_03294","47P2R3A6_01184","",""
"group_7292","rhaS_1","HTH-type transcriptional activator RhaS","2","2","1","166","3940","1","624","","872","872","872","","","38P2R3A13_03295","47P2R3A6_01185","",""
"group_7293","","hypothetical protein","2","2","1","166","3941","1","625","","896","896","896","","","38P2R3A13_03296","47P2R3A6_01186","",""
"pepT_3","","Peptidase T","2","2","1","166","4687","1","721","","1229","1229","1229","","","38P2R3A13_03299","47P2R3A6_01189","",""
"tehB_2","","Tellurite methyltransferase","2","2","1","166","4688","1","722","","593","593","593","","","38P2R3A13_03300","47P2R3A6_01190","",""
"group_7296","tehA","Tellurite resistance protein TehA","2","2","1","166","4689","1","723","","1001","1001","1001","","","38P2R3A13_03301","47P2R3A6_01191","",""
"group_7297","lpxD_1","UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase","2","2","1","166","4690","1","724","","980","980","980","","","38P2R3A13_03302","47P2R3A6_01192","",""
"rimL_2","","Ribosomal-protein-serine acetyltransferase","2","2","1","166","4691","1","725","","548","548","548","","","38P2R3A13_03303","47P2R3A6_01193","",""
"benM","","HTH-type transcriptional regulator BenM","2","2","1","168","72","428","2","","920","920","920","","","38P2R3A13_03384","","52P2R3A10_03701",""
"group_7302","","hypothetical protein","2","2","1","168","71","428","3","","611","611","611","","","38P2R3A13_03385","","52P2R3A10_03702",""
"group_7303","","hypothetical protein","2","2","1","168","70","428","4","","776","776","776","","","38P2R3A13_03386","","52P2R3A10_03703",""
"group_7304","","hypothetical protein","2","2","1","168","69","428","5","","833","833","833","","","38P2R3A13_03387","","52P2R3A10_03704",""
"group_7305","","hypothetical protein","2","2","1","168","68","428","6","","224","224","224","","","38P2R3A13_03388","","52P2R3A10_03705",""
"group_7306","","putative phosphatase","2","2","1","168","216","428","7","","650","650","650","","","38P2R3A13_03389","","52P2R3A10_03706",""
"sotB_3","","Sugar efflux transporter B","2","2","1","168","217","428","8","","1220","1220","1220","","","38P2R3A13_03390","","52P2R3A10_03707",""
"group_7308","","hypothetical protein","2","2","1","168","218","428","9","","413","413","413","","","38P2R3A13_03391","","52P2R3A10_03708",""
"phaA","","Acetyl-CoA acetyltransferase","2","2","1","168","219","428","10","","1175","1175","1175","","","38P2R3A13_03392","","52P2R3A10_03709",""
"group_731","acrZ","Multidrug efflux pump accessory protein AcrZ","2","2","1","166","1209","6","22","","149","149","149","","","38P2R3A13_07140","47P2R3A6_03059","",""
"iolS","","Aldo-keto reductase IolS","2","2","1","168","220","428","1","","998","998","998","","","38P2R3A13_03393","","52P2R3A10_03710",""
"group_7312","","Acetyltransferase","2","2","1","168","232","18","57","","419","419","419","","","38P2R3A13_03403","","52P2R3A10_03720",""
"pepA_2","","cytosol aminopeptidase","2","2","1","166","6740","111","8","","1418","1418","1418","","","38P2R3A13_03434","","52P2R3A10_02939",""
"group_7325","","hypothetical protein","2","2","1","167","184","706","1","","227","227","227","","","38P2R3A13_03503","","52P2R3A10_02293",""
"fhuA_2","","Ferrichrome outer membrane transporter/phage receptor","2","2","1","167","273","59","23","","2255","2255","2255","","","38P2R3A13_03534","","52P2R3A10_02324",""
"modB_2","","Molybdenum transport system permease protein ModB","2","2","1","166","1211","6","24","","689","689","689","","","38P2R3A13_07142","47P2R3A6_03057","",""
"group_7332","yedP","Mannosyl-3-phosphoglycerate phosphatase","2","2","1","166","5882","5","134","","800","800","800","","","38P2R3A13_03583","47P2R3A6_00562","",""
"dgcQ_2","","putative diguanylate cyclase DgcQ","2","2","1","166","5883","5","135","","1820","1820","1820","","","38P2R3A13_03584","47P2R3A6_00561","",""
"group_7334","yedA","putative inner membrane transporter YedA","2","2","1","166","5886","5","138","","914","914","914","","","38P2R3A13_03587","47P2R3A6_00558","",""
"group_7335","vsr_2","Very short patch repair protein","2","2","1","166","5887","5","139","","491","491","491","","","38P2R3A13_03588","47P2R3A6_00557","",""
"yedJ_2","","putative protein YedJ","2","2","1","166","5889","5","141","","701","701","701","","","38P2R3A13_03590","47P2R3A6_00555","",""
"ompN_3","","Outer membrane porin N","2","2","1","166","5890","5","142","","1166","1166","1166","","","38P2R3A13_03591","47P2R3A6_00554","",""
"group_7338","murQ_2","N-acetylmuramic acid 6-phosphate etherase","2","2","1","166","5891","5","143","","863","863","863","","","38P2R3A13_03592","47P2R3A6_00553","",""
"dcuS_2","","Sensor histidine kinase DcuS","2","2","1","166","5892","5","144","","1616","1616","1616","","","38P2R3A13_03593","47P2R3A6_00552","",""
"apbE_3","","FAD:protein FMN transferase","2","2","1","166","5894","5","146","","962","962","962","","","38P2R3A13_03595","47P2R3A6_00550","",""
"group_7341","hdfR_2","HTH-type transcriptional regulator HdfR","2","2","1","166","5898","5","101","","893","893","893","","","38P2R3A13_03599","47P2R3A6_00546","",""
"group_7342","","hypothetical protein","2","2","1","166","5899","5","100","","1307","1307","1307","","","38P2R3A13_03600","47P2R3A6_00545","",""
"group_7343","ais_2","Aconitate isomerase","2","2","1","166","5901","5","98","","788","788","788","","","38P2R3A13_03602","47P2R3A6_00543","",""
"group_7344","cynR_2","HTH-type transcriptional regulator CynR","2","2","1","166","5902","5","97","","899","899","899","","","38P2R3A13_03603","47P2R3A6_00542","",""
"cheW_1","","Chemotaxis protein CheW","2","2","1","166","5903","5","96","","506","506","506","","","38P2R3A13_03604","47P2R3A6_00541","",""
"cheA_2","","Chemotaxis protein CheA","2","2","1","166","5904","5","95","","1934","1934","1934","","","38P2R3A13_03605","47P2R3A6_00540","",""
"motB_2","","Motility protein B","2","2","1","166","5905","5","94","","905","905","905","","","38P2R3A13_03606","47P2R3A6_00539","",""
"motA_2","","Motility protein A","2","2","1","166","5906","5","93","","896","896","896","","","38P2R3A13_03607","47P2R3A6_00538","",""
"flhC_2","","Flagellar transcriptional regulator FlhC","2","2","1","166","5907","5","92","","575","575","575","","","38P2R3A13_03608","47P2R3A6_00537","",""
"flhD_1","","Flagellar transcriptional regulator FlhD","2","2","1","166","5908","5","91","","350","350","350","","","38P2R3A13_03609","47P2R3A6_00536","",""
"fliA_2","","RNA polymerase sigma factor FliA","2","2","1","166","5909","5","90","","725","725","725","","","38P2R3A13_03610","47P2R3A6_00535","",""
"group_7352","trg_1","Methyl-accepting chemotaxis protein III","2","2","1","166","5910","5","89","","1628","1628","1628","","","38P2R3A13_03611","47P2R3A6_00534","",""
"flgL_1","","Flagellar hook-associated protein 3","2","2","1","166","5911","5","88","","893","893","893","","","38P2R3A13_03612","47P2R3A6_00533","",""
"flgK_2","","Flagellar hook-associated protein 1","2","2","1","166","5912","5","87","","1649","1649","1649","","","38P2R3A13_03613","47P2R3A6_00532","",""
"flgJ_1","","Peptidoglycan hydrolase FlgJ","2","2","1","166","5913","5","86","","920","920","920","","","38P2R3A13_03614","47P2R3A6_00531","",""
"flgI_1","","Flagellar P-ring protein","2","2","1","166","5914","5","85","","1121","1121","1121","","","38P2R3A13_03615","47P2R3A6_00530","",""
"group_7357","flgH_2","Flagellar L-ring protein","2","2","1","166","5915","5","84","","698","698","698","","","38P2R3A13_03616","47P2R3A6_00529","",""
"flgG_2","","Flagellar basal-body rod protein FlgG","2","2","1","166","5916","5","83","","782","782","782","","","38P2R3A13_03617","47P2R3A6_00528","",""
"flgF_2","","Flagellar basal-body rod protein FlgF","2","2","1","166","5917","5","82","","737","737","737","","","38P2R3A13_03618","47P2R3A6_00527","",""
"flgE_2","","Flagellar hook protein FlgE","2","2","1","166","5918","5","81","","1193","1193","1193","","","38P2R3A13_03619","47P2R3A6_00526","",""
"flgD_1","","Basal-body rod modification protein FlgD","2","2","1","166","5919","5","80","","728","728","728","","","38P2R3A13_03620","47P2R3A6_00525","",""
"flgC_2","","Flagellar basal-body rod protein FlgC","2","2","1","166","5920","5","79","","365","365","365","","","38P2R3A13_03621","47P2R3A6_00524","",""
"flgB_1","","Flagellar basal body rod protein FlgB","2","2","1","166","5921","5","78","","410","410","410","","","38P2R3A13_03622","47P2R3A6_00523","",""
"group_7364","","hypothetical protein","2","2","1","166","5922","5","77","","698","698","698","","","38P2R3A13_03623","47P2R3A6_00522","",""
"group_7365","","hypothetical protein","2","2","1","166","5923","5","76","","299","299","299","","","38P2R3A13_03624","47P2R3A6_00521","",""
"flgN_2","","Flagella synthesis protein FlgN","2","2","1","166","5924","5","75","","443","443","443","","","38P2R3A13_03625","47P2R3A6_00520","",""
"group_7367","","hypothetical protein","2","2","1","166","5925","5","74","","320","320","320","","","38P2R3A13_03626","47P2R3A6_00519","",""
"fliS_1","","Flagellar secretion chaperone FliS","2","2","1","166","5926","5","73","","407","407","407","","","38P2R3A13_03627","47P2R3A6_00518","",""
"fliD_1","","Flagellar hook-associated protein 2","2","2","1","166","5927","5","72","","1463","1463","1463","","","38P2R3A13_03628","47P2R3A6_00517","",""
"group_737","pgl_2","6-phosphogluconolactonase","2","2","1","166","7671","6","80","","995","995","995","","","38P2R3A13_06189","47P2R3A6_03020","",""
"fljB","","Phase 2 flagellin","2","2","1","166","5928","5","71","","1520","1520","1520","","","38P2R3A13_03629","47P2R3A6_00516","",""
"group_7371","","hypothetical protein","2","2","1","166","5929","5","70","","434","434","434","","","38P2R3A13_03630","47P2R3A6_00515","",""
"group_7372","","hypothetical protein","2","2","1","166","5930","5","69","","1895","1895","1895","","","38P2R3A13_03631","47P2R3A6_00514","",""
"group_7373","","hypothetical protein","2","2","1","166","5931","5","68","","1163","1163","1163","","","38P2R3A13_03632","47P2R3A6_00513","",""
"group_7374","","hypothetical protein","2","2","1","166","5932","5","67","","491","491","491","","","38P2R3A13_03633","47P2R3A6_00512","",""
"group_7375","","hypothetical protein","2","2","1","166","5933","5","66","","806","806","806","","","38P2R3A13_03634","47P2R3A6_00511","",""
"group_7376","","hypothetical protein","2","2","1","166","5934","5","65","","524","524","524","","","38P2R3A13_03635","47P2R3A6_00510","",""
"fliR_1","","Flagellar biosynthetic protein FliR","2","2","1","166","5935","5","64","","779","779","779","","","38P2R3A13_03636","47P2R3A6_00509","",""
"fliQ_2","","Flagellar biosynthetic protein FliQ","2","2","1","166","5936","5","63","","269","269","269","","","38P2R3A13_03637","47P2R3A6_00508","",""
"fliP_1","","Flagellar biosynthetic protein FliP","2","2","1","166","5937","5","62","","740","740","740","","","38P2R3A13_03638","47P2R3A6_00507","",""
"fliO_2","","Flagellar protein FliO","2","2","1","166","5938","5","61","","371","371","371","","","38P2R3A13_03639","47P2R3A6_00506","",""
"fliN_2","","Flagellar motor switch protein FliN","2","2","1","166","5939","5","60","","383","383","383","","","38P2R3A13_03640","47P2R3A6_00505","",""
"fliM_1","","Flagellar motor switch protein FliM","2","2","1","166","5940","5","59","","992","992","992","","","38P2R3A13_03641","47P2R3A6_00504","",""
"group_7383","","hypothetical protein","2","2","1","166","5941","5","58","","506","506","506","","","38P2R3A13_03642","47P2R3A6_00503","",""
"group_7384","","hypothetical protein","2","2","1","166","5942","5","57","","1049","1049","1049","","","38P2R3A13_03643","47P2R3A6_00502","",""
"fliJ_2","","Flagellar FliJ protein","2","2","1","166","5943","5","56","","449","449","449","","","38P2R3A13_03644","47P2R3A6_00501","",""
"fliI_2","","Flagellum-specific ATP synthase","2","2","1","166","5944","5","55","","1364","1364","1364","","","38P2R3A13_03645","47P2R3A6_00500","",""
"group_7387","fliH_2","Flagellar assembly protein FliH","2","2","1","166","5945","5","54","","704","704","704","","","38P2R3A13_03646","47P2R3A6_00499","",""
"fliG_2","","Flagellar motor switch protein FliG","2","2","1","166","5946","5","53","","986","986","986","","","38P2R3A13_03647","47P2R3A6_00498","",""
"fliF_1","","Flagellar M-ring protein","2","2","1","166","5947","5","52","","1679","1679","1679","","","38P2R3A13_03648","47P2R3A6_00497","",""
"hutU_2","","Urocanate hydratase","2","2","1","166","7666","6","75","","1685","1685","1685","","","38P2R3A13_06194","47P2R3A6_03015","",""
"fliE_1","","Flagellar hook-basal body complex protein FliE","2","2","1","166","5948","5","51","","335","335","335","","","38P2R3A13_03649","47P2R3A6_00496","",""
"cheR_1","","Chemotaxis protein methyltransferase","2","2","1","166","5949","5","50","","854","854","854","","","38P2R3A13_03650","47P2R3A6_00495","",""
"cheB_1","","Protein-glutamate methylesterase/protein-glutamine glutaminase","2","2","1","166","5950","5","49","","1055","1055","1055","","","38P2R3A13_03651","47P2R3A6_00494","",""
"cheY_1","","Chemotaxis protein CheY","2","2","1","166","5951","5","48","","386","386","386","","","38P2R3A13_03652","47P2R3A6_00493","",""
"group_7394","cheZ_2","Protein phosphatase CheZ","2","2","1","166","5952","5","47","","638","638","638","","","38P2R3A13_03653","47P2R3A6_00492","",""
"flhB_1","","Flagellar biosynthetic protein FlhB","2","2","1","166","5953","5","46","","1145","1145","1145","","","38P2R3A13_03654","47P2R3A6_00491","",""
"group_7396","flhA_1","Flagellar biosynthesis protein FlhA","2","2","1","166","5954","5","45","","2093","2093","2093","","","38P2R3A13_03655","47P2R3A6_00490","",""
"flhE_1","","Flagellar protein FlhE","2","2","1","166","5955","5","44","","410","410","410","","","38P2R3A13_03656","47P2R3A6_00489","",""
"group_7398","","hypothetical protein","2","2","1","166","5956","5","43","","2180","2180","2180","","","38P2R3A13_03657","47P2R3A6_00488","",""
"group_7399","","hypothetical protein","2","2","1","166","5957","5","42","","671","671","671","","","38P2R3A13_03658","47P2R3A6_00487","",""
"group_7400","","hypothetical protein","2","2","1","166","5958","5","41","","1205","1205","1205","","","38P2R3A13_03659","47P2R3A6_00486","",""
"group_7401","","hypothetical protein","2","2","1","166","5959","5","40","","380","380","380","","","38P2R3A13_03660","47P2R3A6_00485","",""
"group_7402","mtfA_2","Protein MtfA","2","2","1","166","5960","5","39","","797","797","797","","","38P2R3A13_03661","47P2R3A6_00484","",""
"group_7403","","hypothetical protein","2","2","1","166","5961","5","38","","1211","1211","1211","","","38P2R3A13_03662","47P2R3A6_00483","",""
"group_7404","iucA","N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase","2","2","1","166","5962","5","37","","1742","1742","1742","","","38P2R3A13_03663","47P2R3A6_00482","",""
"iucB_2","","N(6)-hydroxylysine O-acetyltransferase","2","2","1","166","5963","5","36","","947","947","947","","","38P2R3A13_03664","47P2R3A6_00481","",""
"iucC_2","","Aerobactin synthase","2","2","1","166","5964","5","35","","1742","1742","1742","","","38P2R3A13_03665","47P2R3A6_00480","",""
"group_7407","iucD_2","L-lysine N6-monooxygenase","2","2","1","166","5965","5","34","","1325","1325","1325","","","38P2R3A13_03666","47P2R3A6_00479","",""
"group_7408","gcvA_6","Glycine cleavage system transcriptional activator","2","2","1","166","5967","5","32","","770","770","770","","","38P2R3A13_03669","47P2R3A6_00476","",""
"erfK_2","","putative L,D-transpeptidase ErfK/SrfK","2","2","1","166","5970","5","29","","899","899","899","","","38P2R3A13_03673","47P2R3A6_00472","",""
"group_7410","","hypothetical protein","2","2","1","166","5974","5","26","","1772","1772","1772","","","38P2R3A13_03676","47P2R3A6_00469","",""
"group_7411","ycjG_2","L-Ala-D/L-Glu epimerase","2","2","1","166","3327","2","477","","965","965","965","","","38P2R3A13_03680","47P2R3A6_00987","",""
"group_7412","mpaA_2","Murein peptide amidase A","2","2","1","166","3328","2","478","","713","713","713","","","38P2R3A13_03681","47P2R3A6_00988","",""
